# t,x,y,z,qx,qy,qz,qw
1772335304.738070,33.841707,-0.129759,5.563095,0.997279,0.001174,0.073079,-0.009613
1772335304.768071,34.131747,-0.130323,5.581201,0.997263,0.001359,0.073241,-0.010013
1772335304.798072,34.422449,-0.131067,5.599479,0.997249,0.001546,0.073380,-0.010341
1772335304.828073,34.713812,-0.131997,5.617939,0.997233,0.001748,0.073529,-0.010773
1772335304.858073,35.005839,-0.133122,5.636610,0.997214,0.001951,0.073733,-0.011125
1772335304.888074,35.298521,-0.134447,5.655457,0.997200,0.002165,0.073858,-0.011508
1772335304.918074,35.591871,-0.135980,5.674510,0.997181,0.002383,0.074060,-0.011849
1772335304.948075,35.885878,-0.137726,5.693727,0.997168,0.002608,0.074165,-0.012186
1772335304.978076,36.180548,-0.139692,5.713139,0.997150,0.002838,0.074352,-0.012505
1772335305.008076,36.475874,-0.141882,5.732703,0.997138,0.003075,0.074443,-0.012804
1772335305.038077,36.771860,-0.144303,5.752445,0.997122,0.003316,0.074603,-0.013088
1772335305.068078,37.068495,-0.146958,5.772320,0.997113,0.003562,0.074667,-0.013349
1772335305.098078,37.365786,-0.149853,5.792352,0.997098,0.003813,0.074801,-0.013600
1772335305.125079,37.633902,-0.152667,5.810471,0.997095,0.004042,0.074806,-0.013790
1772335305.146079,37.842798,-0.154994,5.824649,0.997083,0.004221,0.074919,-0.013933
1772335305.167080,38.052012,-0.157443,5.838902,0.997071,0.004403,0.075044,-0.014074
1772335305.188080,38.261545,-0.160017,5.853232,0.997060,0.004586,0.075156,-0.014207
1772335305.215081,38.531409,-0.163508,5.871715,0.997063,0.004825,0.075083,-0.014338
1772335305.236081,38.741652,-0.166366,5.886115,0.997068,0.005014,0.074979,-0.014449
1772335305.257082,38.952204,-0.169350,5.900556,0.997062,0.005202,0.075023,-0.014548
1772335305.287082,39.253531,-0.173833,5.921240,0.997052,0.005474,0.075111,-0.014690
1772335305.317083,39.555479,-0.178577,5.941991,0.997051,0.005748,0.075085,-0.014792
1772335305.347084,39.858046,-0.183583,5.962779,0.997054,0.006028,0.074998,-0.014910
1772335305.377084,40.161230,-0.188854,5.983601,0.997054,0.006309,0.074952,-0.015018
1772335305.407085,40.465010,-0.194389,6.004398,0.997063,0.006594,0.074794,-0.015117
1772335305.437085,40.769385,-0.200190,6.025189,0.997066,0.006882,0.074695,-0.015224
1772335305.467086,41.074347,-0.206257,6.045926,0.997075,0.007174,0.074527,-0.015341
1772335305.497087,41.379885,-0.212594,6.066619,0.997083,0.007469,0.074365,-0.015447
1772335305.524087,41.655360,-0.218526,6.085159,0.997098,0.007739,0.074123,-0.015559
1772335305.545088,41.869936,-0.223293,6.099548,0.997099,0.007950,0.074058,-0.015655
1772335305.566088,42.084791,-0.228194,6.113918,0.997098,0.008162,0.074024,-0.015764
1772335305.596089,42.392199,-0.235430,6.134398,0.997107,0.008469,0.073846,-0.015893
1772335305.623089,42.669337,-0.242178,6.152758,0.997119,0.008751,0.073614,-0.016040
1772335305.644090,42.885191,-0.247584,6.167006,0.997121,0.008970,0.073541,-0.016157
1772335305.665090,43.101317,-0.253127,6.181229,0.997120,0.009192,0.073493,-0.016287
1772335305.695091,43.410525,-0.261289,6.201508,0.997129,0.009510,0.073311,-0.016417
1772335305.722091,43.689261,-0.268877,6.219664,0.997142,0.009806,0.073042,-0.016608
1772335305.743092,43.906348,-0.274941,6.233730,0.997146,0.010035,0.072930,-0.016725
1772335305.764092,44.123690,-0.281146,6.247749,0.997150,0.010266,0.072820,-0.016854
1772335305.794093,44.434614,-0.290259,6.267684,0.997160,0.010601,0.072585,-0.017042
1772335305.824094,44.746035,-0.299666,6.287472,0.997178,0.010939,0.072251,-0.017211
1772335305.854094,45.057944,-0.309368,6.307107,0.997194,0.011281,0.071940,-0.017386
1772335305.884095,45.370329,-0.319367,6.326531,0.997218,0.011626,0.071513,-0.017524
1772335305.914096,45.683176,-0.329664,6.345757,0.997239,0.011973,0.071132,-0.017662
1772335305.944096,45.996474,-0.340261,6.364721,0.997266,0.012323,0.070657,-0.017781
1772335305.974097,46.310202,-0.351160,6.383455,0.997292,0.012672,0.070205,-0.017855
1772335306.001097,46.592928,-0.361227,6.400110,0.997321,0.012988,0.069716,-0.017913
1772335306.022098,46.813051,-0.369226,6.412893,0.997340,0.013235,0.069389,-0.017965
1772335306.043098,47.033377,-0.377372,6.425533,0.997356,0.013479,0.069102,-0.017986
1772335306.073099,47.348452,-0.389267,6.443345,0.997388,0.013828,0.068577,-0.017988
1772335306.103100,47.663908,-0.401463,6.460845,0.997425,0.014178,0.067964,-0.017956
1772335306.133100,47.979738,-0.413959,6.478036,0.997461,0.014525,0.067383,-0.017904
1772335306.163101,48.295916,-0.426752,6.494862,0.997504,0.014871,0.066693,-0.017802
1772335306.193102,48.612425,-0.439841,6.511348,0.997543,0.015213,0.066059,-0.017684
1772335306.223102,48.929255,-0.453221,6.527434,0.997589,0.015553,0.065330,-0.017529
1772335306.253103,49.246390,-0.466890,6.543149,0.997632,0.015889,0.064629,-0.017342
1772335306.283103,49.563803,-0.480843,6.558441,0.997682,0.016222,0.063823,-0.017127
1772335306.313104,49.881491,-0.495076,6.573328,0.997728,0.016549,0.063081,-0.016890
1772335306.343105,50.199427,-0.509584,6.587779,0.997779,0.016872,0.062252,-0.016621
1772335306.373106,50.517603,-0.524364,6.601832,0.997826,0.017189,0.061495,-0.016338
1772335306.403106,50.836001,-0.539407,6.615444,0.997876,0.017502,0.060664,-0.016034
1772335306.433107,51.154604,-0.554711,6.628657,0.997923,0.017809,0.059883,-0.015714
1772335306.463107,51.473398,-0.570268,6.641434,0.997974,0.018112,0.059013,-0.015382
1772335306.493108,51.792372,-0.586073,6.653795,0.998021,0.018408,0.058214,-0.015048
1772335306.523109,52.111502,-0.602119,6.665729,0.998070,0.018700,0.057365,-0.014703
1772335306.553109,52.430781,-0.618401,6.677295,0.998112,0.018985,0.056614,-0.014358
1772335306.583110,52.750193,-0.634913,6.688461,0.998158,0.019267,0.055794,-0.014027
1772335306.610111,53.037768,-0.649966,6.698215,0.998193,0.019515,0.055146,-0.013719
1772335306.631111,53.261500,-0.661796,6.705579,0.998228,0.019707,0.054506,-0.013491
1772335306.652111,53.485281,-0.673732,6.712789,0.998252,0.019896,0.054045,-0.013279
1772335306.682112,53.805048,-0.690962,6.722821,0.998283,0.020160,0.053449,-0.012980
1772335306.712113,54.124907,-0.708400,6.732582,0.998316,0.020422,0.052801,-0.012693
1772335306.742113,54.444842,-0.726041,6.742079,0.998350,0.020681,0.052106,-0.012420
1772335306.772114,54.764841,-0.743879,6.751328,0.998381,0.020937,0.051470,-0.012173
1772335306.802114,55.084891,-0.761910,6.760311,0.998413,0.021190,0.050792,-0.011930
1772335306.832115,55.404982,-0.780129,6.769079,0.998440,0.021440,0.050215,-0.011713
1772335306.862116,55.725111,-0.798533,6.777610,0.998469,0.021689,0.049565,-0.011523
1772335306.892117,56.045267,-0.817118,6.785946,0.998494,0.021935,0.048996,-0.011335
1772335306.922117,56.365435,-0.835881,6.794069,0.998522,0.022182,0.048339,-0.011183
1772335306.952118,56.685602,-0.854818,6.802010,0.998545,0.022425,0.047776,-0.011036
1772335306.982118,57.005770,-0.873928,6.809758,0.998571,0.022669,0.047155,-0.010915
1772335307.012119,57.325915,-0.893207,6.817357,0.998591,0.022911,0.046628,-0.010800
1772335307.042120,57.646040,-0.912654,6.824792,0.998614,0.023154,0.046029,-0.010717
1772335307.069120,57.934122,-0.930298,6.831379,0.998631,0.023371,0.045581,-0.010630
1772335307.090121,58.158160,-0.944114,6.836409,0.998650,0.023541,0.045087,-0.010579
1772335307.111121,58.382174,-0.958009,6.841392,0.998660,0.023709,0.044772,-0.010538
1772335307.141122,58.702151,-0.977998,6.848424,0.998673,0.023949,0.044373,-0.010486
1772335307.168122,58.990080,-0.996126,6.854692,0.998686,0.024165,0.043975,-0.010436
1772335307.189123,59.213991,-1.010317,6.859529,0.998700,0.024335,0.043561,-0.010399
1772335307.210123,59.437872,-1.024586,6.864359,0.998707,0.024502,0.043308,-0.010372
1772335307.240124,59.757639,-1.045106,6.871220,0.998718,0.024741,0.042940,-0.010320
1772335307.270124,60.077326,-1.065785,6.878062,0.998728,0.024980,0.042589,-0.010271
1772335307.300125,60.396933,-1.086622,6.884902,0.998737,0.025219,0.042235,-0.010226
1772335307.330126,60.716452,-1.107617,6.891750,0.998751,0.025457,0.041767,-0.010154
1772335307.351126,60.940058,-1.122405,6.896528,0.998764,0.025625,0.041373,-0.010104
1772335307.378127,61.227476,-1.141530,6.902663,0.998772,0.025838,0.041061,-0.010044
1772335307.399127,61.450960,-1.156489,6.907390,0.998785,0.026005,0.040661,-0.009972
1772335307.420128,61.674387,-1.171523,6.912100,0.998793,0.026170,0.040366,-0.009910
1772335307.450128,61.993468,-1.193125,6.918803,0.998803,0.026405,0.039987,-0.009805
1772335307.480129,62.312422,-1.214875,6.925469,0.998816,0.026638,0.039545,-0.009686
1772335307.510130,62.631235,-1.236770,6.932127,0.998825,0.026869,0.039195,-0.009547
1772335307.540130,62.949911,-1.258807,6.938756,0.998837,0.027098,0.038769,-0.009392
1772335307.570131,63.268439,-1.280983,6.945388,0.998845,0.027323,0.038441,-0.009214
1772335307.597131,63.554987,-1.301057,6.951347,0.998854,0.027524,0.038101,-0.009045
1772335307.618132,63.777773,-1.316746,6.956003,0.998855,0.027678,0.038003,-0.008906
1772335307.648133,64.095900,-1.339269,6.962697,0.998855,0.027894,0.037876,-0.008691
1772335307.678133,64.413885,-1.361920,6.969504,0.998852,0.028105,0.037851,-0.008462
1772335307.708134,64.731718,-1.384696,6.976453,0.998850,0.028313,0.037798,-0.008212
1772335307.738135,65.049406,-1.407592,6.983551,0.998851,0.028517,0.037684,-0.007940
1772335307.768135,65.366949,-1.430603,6.990803,0.998849,0.028716,0.037654,-0.007656
1772335307.795136,65.652609,-1.451406,6.997437,0.998850,0.028892,0.037551,-0.007385
1772335307.816136,65.874701,-1.467646,7.002683,0.998845,0.029026,0.037617,-0.007179
1772335307.837137,66.096724,-1.483935,7.008007,0.998840,0.029156,0.037692,-0.006959
1772335307.867137,66.413779,-1.507287,7.015765,0.998834,0.029339,0.037761,-0.006641
1772335307.897138,66.730688,-1.530731,7.023715,0.998830,0.029518,0.037773,-0.006310
1772335307.927139,67.047461,-1.554261,7.031863,0.998824,0.029691,0.037862,-0.005978
1772335307.957139,67.364096,-1.577871,7.040176,0.998820,0.029859,0.037882,-0.005645
1772335307.987140,67.680601,-1.601554,7.048669,0.998809,0.030024,0.038091,-0.005365
1772335308.017140,67.996962,-1.625306,7.057341,0.998806,0.030181,0.038098,-0.004991
1772335308.047141,68.313200,-1.649119,7.066216,0.998798,0.030335,0.038204,-0.004686
1772335308.077142,68.629317,-1.672989,7.075253,0.998794,0.030483,0.038229,-0.004349
1772335308.107142,68.945296,-1.696908,7.084458,0.998787,0.030628,0.038345,-0.004046
1772335308.137143,69.261153,-1.720872,7.093808,0.998782,0.030767,0.038392,-0.003746
1772335308.167144,69.576887,-1.744874,7.103324,0.998773,0.030902,0.038541,-0.003467
1772335308.197144,69.892500,-1.768910,7.113001,0.998766,0.031034,0.038631,-0.003202
1772335308.227145,70.208006,-1.792976,7.122850,0.998757,0.031161,0.038785,-0.002958
1772335308.257146,70.523383,-1.817065,7.132851,0.998751,0.031285,0.038852,-0.002734
1772335308.287146,70.838660,-1.841176,7.143019,0.998742,0.031406,0.039015,-0.002533
1772335308.317147,71.153822,-1.865303,7.153327,0.998735,0.031525,0.039102,-0.002358
1772335308.347147,71.468878,-1.889444,7.163796,0.998725,0.031641,0.039281,-0.002209
1772335308.377148,71.783842,-1.913596,7.174411,0.998717,0.031755,0.039389,-0.002090
1772335308.407149,72.098692,-1.937756,7.185179,0.998707,0.031867,0.039554,-0.001998
1772335308.437150,72.413451,-1.961924,7.196073,0.998701,0.031979,0.039628,-0.001936
1772335308.467150,72.728117,-1.986097,7.207105,0.998690,0.032090,0.039822,-0.001910
1772335308.497151,73.042693,-2.010275,7.218246,0.998680,0.032201,0.039979,-0.001909
1772335308.527151,73.357169,-2.034459,7.229527,0.998671,0.032312,0.040093,-0.001938
1772335308.557152,73.671561,-2.058649,7.240934,0.998664,0.032424,0.040185,-0.001998
1772335308.587153,73.985869,-2.082845,7.252450,0.998655,0.032536,0.040324,-0.002078
1772335308.617153,74.300093,-2.107049,7.264040,0.998649,0.032650,0.040364,-0.002185
1772335308.647154,74.614233,-2.131263,7.275713,0.998640,0.032765,0.040491,-0.002315
1772335308.674155,74.896887,-2.153065,7.286265,0.998635,0.032871,0.040511,-0.002439
1772335308.695155,75.116690,-2.170030,7.294522,0.998626,0.032953,0.040660,-0.002551
1772335308.716155,75.336455,-2.187003,7.302817,0.998617,0.033036,0.040812,-0.002668
1772335308.737156,75.556174,-2.203985,7.311159,0.998608,0.033121,0.040949,-0.002792
1772335308.764156,75.838629,-2.225834,7.321933,0.998605,0.033230,0.040933,-0.002928
1772335308.785157,76.058279,-2.242840,7.330343,0.998604,0.033316,0.040873,-0.003040
1772335308.806157,76.277884,-2.259859,7.338783,0.998597,0.033402,0.040976,-0.003150
1772335308.836158,76.591544,-2.284192,7.350859,0.998585,0.033526,0.041146,-0.003301
1772335308.863158,76.873778,-2.306117,7.361760,0.998576,0.033637,0.041255,-0.003410
1772335308.884159,77.093260,-2.323187,7.370259,0.998575,0.033724,0.041220,-0.003479
